Optical_sweep_clutter_mix_lr0001 | score=0.1, nms=0.2 | time: 7.21 sec
Optical_sweep_clutter_mix_lr00015 | score=0.1, nms=0.2 | time: 5.62 sec
Optical_sweep_clutter_mix_lr0002 | score=0.1, nms=0.2 | time: 5.76 sec
Optical_sweep_clutter_mix_lr0003 | score=0.1, nms=0.2 | time: 5.50 sec
SAR_sweep_v5_lr0.00015_b512_nms0.4_score0.4 | score=0.1, nms=0.2 | time: 5.58 sec
SAR_sweep_v5_lr0.00015_b512_nms0.4_score0.5 | score=0.1, nms=0.2 | time: 9.91 sec
SAR_sweep_v5_lr0.00015_b768_nms0.4_score0.4 | score=0.1, nms=0.2 | time: 8.95 sec
SAR_sweep_v5_lr0.00015_b768_nms0.4_score0.5 | score=0.1, nms=0.2 | time: 8.90 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.2 | time: 7.33 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.5 | score=0.1, nms=0.2 | time: 9.80 sec
SAR_sweep_v5_lr0.0002_b768_nms0.4_score0.4 | score=0.1, nms=0.2 | time: 8.96 sec
SAR_sweep_v5_lr0.0002_b768_nms0.4_score0.5 | score=0.1, nms=0.2 | time: 8.80 sec
SAR_sweep_v5_lr0.00015_b512_nms0.4_score0.4 | score=0.1, nms=0.2 | time: 6.03 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.2 | time: 5.50 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.1 | time: 5.92 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.1 | time: 6.66 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.1 | time: 7.01 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 1.35 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 1.23 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 1.27 sec
